Алейник Алексей;Другое небо;стихи;91753;nebo;1;0
Алейхем Шолом;Рассказы;драма;28278;shalom02;1;0
Алейхем Шолом;С ярмарки (с предисловиями автора и критиков);драма;659807;shalom01;1;0
Алейхем Шолом;Тевье-молочник;драма;291733;tevie;1;0
Алекс Рома;HTML;юмор прог.;151600;html;1;0
Алекс Янг;Сказки провинции Дангунь;сказка;2527;youna001;1;0
Александрова Татьяна;Домовенок Кузька;сказка;65306;alexand1;1;0
Алексеев Вячеслав;Из записок геолога;драма;41809;geologs;1;0
Алексеев Г.;Зеленые берега;драма;650107;greeng;1;0
Алексеев И.;Любовь к живым цветам, рассказ;драма;31489;alekseev;1;0
Алексеев Максим;Ну?!;драма;457344;nu;1;0
Алексий II;Речь к раввинам г. Нью-Йорка 13.11.91;политика;684070;speech;1;0
Алексин Анатолий;В стране вечных каникул;сказка;171397;holiday;1;0
Алексин Анатолий;Говорит седьмой этаж;детская;133834;aleks4r;1;0
Алексин Анатолий;Необычайные похождения Севы Котлова;детская;166047;aleksin1;1;0
Алексин Анатолий;Очень страшная история;детская;199470;aleksi2r;1;0
Алексин Анатолий;Поздний ребенок;детская;107405;lastbaby;1;0
Алексин Анатолий;Саша и Шура;детская;137018;aleksi3r;1;0
Алессин Анатолий Г.;Коля пишет Оле, Оля пишет Коле;детская;213227;kolya;1;0
Алехин Дмитрий;Рассказы;юмор;134932;alehins;1;0
Алешкин Тимофей;Рассказы;история;106591;aleshkin;1;0
Алешковский П.;Седьмой чемоданчик;драма;119657;alesh;1;0
Алешковский Юз;Карусель;юмор;576095;karusel;1;0
Алешковский Юз;Кенгуру;драма;425465;kenguru;1;0
Алешковский Юз;Кыш и я в Крыму;детская;255422;alessky2;1;0
Алешковский Юз;Маскировка (История одной болезни);юмор;99711;alesh1r;1;0
Алешковский Юз;Николай Николаевич;юмор;87108;nicknick;1;0
Алешковский Юз;Рука;драма;809407;ruka;1;0
Алешковский Юз;Чаинки;драма;115237;chainki;1;0
Алистер Маклин;И ночи нет конца;триллер;465069;makn12;1;0
Аллен Вуди;'Рассказы из сборника \"Сводя счеты\"';юмор;107833;vudial;1;0
Аллен Герви;Эдгар По (биография);документ;744622;biograph;1;0
Аллен Иоганнес;Однажды жарким летом;жен. роман;170905;al1;1;0
Аллилуева С.;Двадцать писем к другу;мемуары;385188;newfil;1;0
Алферова Марианна;Мечта империи;история;748913;dream;1;0
Альмог Рут;Бойкое местечко, рассказ;драма;24398;almog;1;0
Альтов Семен;Собачьи радости (избранное);юмор;805600;altov;1;0
Амадей Гофман;Эликсиры сатаны;драма;671406;gofman1;1;0
Амаду Жоржи;Капитаны песка;драма;425794;amadu1;1;0
Амасиаци А.;Ненужное для неучей (средневековый энциклопедический сл;медицина;13352;amasiaci;1;0
Аматуни Гай Петроний;Требуется король;сказка;137179;amatuni3;1;0
Аматуни П.Г.;Если б заговорил Сфинкс...;история;276978;sphinx;1;0
Амброз Бирс;Рассказы;триллер;331009;birss;1;0
Амосов Николай;Записки из будущего;драма;376509;notefot;1;1
Амстронг Линдсей;В сетях страсти;жен. роман;240231;ams1;1;0
Андерсен Г.-Х.;Сказки;сказка;760802;ghatales;1;0
Андре Жид;Яства земные;философия;168332;yastvs;1;0
Андреев Леонид;Жизнь Василия Фивейского;драма;153062;fiveisk;1;0
Андреев Леонид;Иуда Искариот;история;127366;iskariot;1;0
Андреев Леонид;Красный смех;драма;120102;redlaugh;1;0
Андреев Леонид;Шесть рассказов;драма;109687;abdreev6;1;0
Андреев Павел;Семь рассказов;драма;108273;sixstory;1;0
Андрей Дикий;Русско-еврейский диалог;политика;393223;dialog;1;0
Андреота Пол;Очищение огнем;триллер;247004;andr1;1;0
Аникин А.В.;Рассказы и повести;драма;332795;anikin;1;0
Анисимов Анат.;Компьютерная лингвистика для всех: Мифы. Алгоритмы. Язы;учеба;401149;lingw;1;0
Анненский Иннокентий;Книги отражений;драма;409996;reflect;1;0
Анненский Иннокентий;'Леконт де Лиль и его \"Эринии\"';стихи;93460;a_delil;1;1
Анненский Иннокентий;Лирика;лирика;182578;annensk;1;1
Анненский Иннокентий;О современном лиризме;лирика;176629;a_lirizm;1;1
Ансельм;Труды;философия;96066;anselm;1;0
Антонов Владимир;Бог говорит;философия;829606;godspeak;1;0
Антонов Дмитрий;Рассказы;драма;182798;antonovs;1;0
Антонов Сергей;Свалка, повесть;драма;69900;anton;1;0
Антонов-Овсеенко А.;Берия;политика;146516;beria-o;1;0
Антуан Сен-Экзюпери;Военный летчик;драма;253110;antyan02;1;0
Антуан Сен-Экзюпери;Маленький принц;сказка;83702;smprince;1;0
Антуан Сен-Экзюпери;Ночной полет;драма;118913;nightfly;1;0
Антуан Сен-Экзюпери;Планета людей;драма;251750;planeta;1;0
Антуан Сен-Экзюпери;Цитадель;драма;987400;citadel;1;0
Анчаров Михаил;Голубая жилка Афродиты;драма;113632;afrodit;1;0
Анчаров Михаил;Золотой дождь;драма;128505;anchar02;1;0
Анчаров Михаил;Поводырь для крокодила;драма;146306;povodir;1;0
Анчаров Михаил;Самшитовый лес;драма;571824;samshit;1;0
Анчаров Михаил;Стройность;драма;161640;strann;1;0
Анчаров Михаил;Теория невероятности;драма;215278;anchar01;1;0
Аньци Минь;Рассказы;драма;56767;azalij;1;0
Апдайк Джон;Кролик, беги;драма;616118;rabbit;1;0
Аппиан;Биография, творчество;история;1549527;apian;1;0
Априлов Борис;Приключения лисенка 1-2;сказка;364141;aprilv1r;1;0
Ар Сантэм;Методические материалы йоги гуру  Ар  Сантэма;философия;272088;santem;1;0
Арагон Луи;Страстная неделя;история;1336100;semaine;1;0
Аргивинянин Ф.;Тайна пророка из Назарета;религия;156724;fales;1;0
