<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;60;10/01/23;220000;162.2200000
GAZP;60;10/01/23;230000;162.1800000
GAZP;60;11/01/23;000000;162.1000000
GAZP;60;11/01/23;110000;162.7600000
GAZP;60;11/01/23;120000;162.9100000
GAZP;60;11/01/23;130000;162.2600000
GAZP;60;11/01/23;140000;162.8500000
GAZP;60;11/01/23;150000;163.1000000
GAZP;60;11/01/23;160000;163.8000000
GAZP;60;11/01/23;170000;163.9000000
GAZP;60;11/01/23;180000;165.7800000
GAZP;60;11/01/23;190000;165.6100000
GAZP;60;11/01/23;200000;165.8600000
GAZP;60;11/01/23;210000;165.6500000
GAZP;60;11/01/23;220000;165.6500000
GAZP;60;11/01/23;230000;165.9100000
GAZP;60;12/01/23;000000;165.8300000
GAZP;60;12/01/23;110000;164.7100000
GAZP;60;12/01/23;120000;164.9000000
GAZP;60;12/01/23;130000;164.8100000
GAZP;60;12/01/23;140000;164.9900000
GAZP;60;12/01/23;150000;165.0300000
GAZP;60;12/01/23;160000;164.9100000
GAZP;60;12/01/23;170000;165.0700000
GAZP;60;12/01/23;180000;164.3500000
GAZP;60;12/01/23;190000;164.3000000
GAZP;60;12/01/23;200000;164.0400000
GAZP;60;12/01/23;210000;164.4200000
GAZP;60;12/01/23;220000;164.5500000
GAZP;60;12/01/23;230000;164.4400000
GAZP;60;13/01/23;000000;164.1700000
GAZP;60;13/01/23;110000;163.5500000
GAZP;60;13/01/23;120000;163.7500000
GAZP;60;13/01/23;130000;163.6800000
GAZP;60;13/01/23;140000;164.8500000
GAZP;60;13/01/23;150000;164.7000000
GAZP;60;13/01/23;160000;164.7700000
GAZP;60;13/01/23;170000;164.4300000
GAZP;60;13/01/23;180000;164.9400000
GAZP;60;13/01/23;190000;165.0000000
GAZP;60;13/01/23;200000;164.8100000
GAZP;60;13/01/23;210000;164.7300000
GAZP;60;13/01/23;220000;164.6500000
GAZP;60;13/01/23;230000;164.5500000
GAZP;60;14/01/23;000000;164.5600000
GAZP;60;16/01/23;110000;166.4900000
GAZP;60;16/01/23;120000;166.2100000
GAZP;60;16/01/23;130000;166.2500000
GAZP;60;16/01/23;140000;166.3400000
GAZP;60;16/01/23;150000;166.3400000
GAZP;60;16/01/23;160000;165.5400000
GAZP;60;16/01/23;170000;165.4500000
GAZP;60;16/01/23;180000;165.6500000
GAZP;60;16/01/23;190000;166.1400000
GAZP;60;16/01/23;200000;165.7900000
GAZP;60;16/01/23;210000;165.7200000
GAZP;60;16/01/23;220000;165.9500000
GAZP;60;16/01/23;230000;165.9100000
GAZP;60;17/01/23;000000;165.8000000
GAZP;60;17/01/23;110000;164.5900000
GAZP;60;17/01/23;120000;163.8600000
GAZP;60;17/01/23;130000;164.4300000
GAZP;60;17/01/23;140000;164.4700000
GAZP;60;17/01/23;150000;164.0100000
GAZP;60;17/01/23;160000;163.6600000
GAZP;60;17/01/23;170000;163.5700000
GAZP;60;17/01/23;180000;163.2600000
GAZP;60;17/01/23;190000;162.6300000
GAZP;60;17/01/23;200000;162.7000000
GAZP;60;17/01/23;210000;162.9000000
GAZP;60;17/01/23;220000;162.5600000
GAZP;60;17/01/23;230000;162.3000000
GAZP;60;18/01/23;000000;162.3300000
GAZP;60;18/01/23;110000;161.9900000
GAZP;60;18/01/23;120000;161.9700000
GAZP;60;18/01/23;130000;161.8600000
GAZP;60;18/01/23;140000;162.8000000
GAZP;60;18/01/23;150000;162.8400000
GAZP;60;18/01/23;160000;163.0800000
GAZP;60;18/01/23;170000;163.2200000
GAZP;60;18/01/23;180000;163.6300000
GAZP;60;18/01/23;190000;162.8600000
GAZP;60;18/01/23;200000;162.7000000
GAZP;60;18/01/23;210000;162.7400000
GAZP;60;18/01/23;220000;162.4300000
GAZP;60;18/01/23;230000;162.2500000
GAZP;60;19/01/23;000000;162.1800000
GAZP;60;19/01/23;110000;161.3000000
